帧,流量,密度,平均速度,TPI
68,14,6,24.94892115291987,0.9676914282135848
110,17,1,36.0,0.20915032679738563
161,20,1,10.0,1.0
195,28,4,25.01453488372093,0.3455134058271769
228,31,3,25.50261579334333,0.3642890068974851
261,27,1,14.4375,0.7388167388167388
326,21,2,33.8838761220666,0.4750117146354516
359,24,3,33.50308689019705,0.48751726630039094
392,27,4,35.75044641718353,0.5988011214628606
425,24,3,22.74320803205373,1.058924198353674
458,26,3,31.57055753238365,0.7894405063170633
491,27,3,28.8613591206575,1.2422094088490419
524,27,4,25.74557369371236,1.7982235256075447
557,26,3,21.09375,1.9291168091168092
590,23,3,17.26716844509853,2.9007046917386647
623,22,5,28.74251497005989,1.976799242424242
656,29,5,25.34082943925233,1.7009485967770208
689,28,2,21.629179331307,2.7773327712197853
722,30,4,23.55730337042428,3.2714553722401996
755,35,4,18.42635715168922,4.478057438863942
788,36,4,16.50357950760005,5.120101367166255
821,43,8,22.71779359480174,3.1140429967943377
854,47,7,22.52212732919255,1.9347403310621718
887,56,9,22.39780509311004,1.2501224956463834
920,59,5,18.76106755880607,0.9558199891142917
953,58,5,21.99909639833712,0.6912509621474092
986,51,3,30.1875,0.3754313319530711
1019,47,4,26.32009244706108,0.5836492466186178
1052,43,3,18.3453716343748,0.8214479238797951
1085,33,4,13.1106728083685,1.335946047251797
1118,32,1,16.2327121941955,0.9856639980176133
1176,30,6,26.9625,0.8011126564673157
1209,33,3,21.3613591206575,0.6383659185419803
1242,34,3,21.8113591206575,0.4557797804160203
1275,35,3,22.3613591206575,0.3092068633653968
1308,32,4,25.51839174955312,0.24492139086741038
1341,31,2,34.64864864864865,0.11916863771325045
1374,23,1,22.6875,0.5519223859144807
1407,20,1,36.0,0.5444444444444444
1440,18,3,25.21875,1.4275092936802973
1473,17,3,30.41789440937955,1.39623695393584
1506,20,6,31.69490040245249,1.2620326769319923
1539,25,4,28.18189923958003,0.726707587231626
1572,32,5,26.4162236103831,0.6056883919513415
1605,38,3,14.52213511761214,0.9278032535440134
1638,40,3,28.125,0.4
1671,38,2,16.5,0.9218500797448166
1704,33,3,29.5,0.6656394453004623
1737,31,5,32.1,0.5145211536528992
1770,23,3,12.5456977187401,0.9980902944704677
1803,27,5,34.09470752089136,0.36716896635197294
1836,28,4,23.87810499379543,0.19144854973275424
1884,25,1,36.0,0.05555555555555555
1917,24,1,16.5,0.08080808080808081
1950,23,3,27.50557591559503,0.028452728932261796
35,5,1,16.6284066058658,2.4055221253664616
76,8,2,29.39052854897435,1.224884402470411
109,10,3,24.55443548387096,1.3765333771245591
142,13,2,16.7042277467851,1.3262418646147762
179,15,2,25.21875,0.8935150764147046
212,18,4,36.0,0.6049382716049383
245,20,3,19.5625,0.7361022364217252
278,21,2,19.45840773619726,0.7047999970097186
311,23,3,36.0,0.2922705314009662
344,24,3,25.47486033519553,0.2649671052631579
377,23,1,16.6284066058658,0.3346813391814207
415,25,3,17.56599925401925,0.45542527267098293
448,23,1,36.0,0.1956521739130435
481,21,1,36.0,0.38095238095238093
514,20,2,32.2110558229976,0.6084867291436709
547,18,3,18.5625,1.5323606434717545
589,17,2,36.0,0.6405228758169934
622,20,5,34.52741863124405,0.6516560140305313
655,22,3,27.125,0.754084625052367
688,24,4,30.09375,0.897196261682243
721,24,1,14.5840773619725,2.0627519030977326
759,24,5,34.3125,0.8767455980570734
792,27,5,30.75380666166027,1.0621991295598243
825,31,6,32.58363094478901,0.7147859801171086
858,35,5,28.62965776375182,0.6466820479330619
915,33,1,7.43644950564448,2.6405563059977846
950,40,4,19.18121141958974,1.1495624294866156
983,42,1,7.21875,2.6386312100597813
1016,41,4,24.32057369371236,1.253580826752078
1049,38,4,24.69504834947024,1.553688841166195
1082,33,3,17.3142033029329,2.7442874895146225
1115,31,4,22.34280359680652,3.3380164149117895
1148,30,6,21.33977237226654,4.276834123370411
1181,34,6,28.22069147001971,2.5534038953639233
1214,34,6,30.24272643902842,2.118156365913606
1247,43,10,29.38905279503106,1.424355708509143
1280,50,8,24.07971251367181,0.9568220545373417
1313,54,5,27.66707943925234,0.6479153668996855
1346,53,5,27.14437456936148,0.6728521556732207
1379,51,3,33.9,0.5101509630400833
1412,49,4,27.30696711714045,0.659172434741077
1445,42,5,28.65303468208092,0.8043692161526124
1478,42,5,32.12568132117316,0.5351007506616339
1511,42,5,27.140625,0.6333854209501878
1544,40,3,30.1875,0.5979296066252588
1577,39,5,29.79979940492872,0.6212397694784011
1610,38,2,25.21875,0.7534076827757125
1643,36,5,22.79528659432036,0.9748604006478725
1676,32,3,21.93787899639725,0.9230609761009968
1709,29,3,24.52291729564957,0.9111814600529166
1742,32,5,29.08809040566094,0.620958603610665
1775,33,3,29.54280220195526,0.46157989831652213
1815,31,3,36.0,0.5806451612903226
1848,33,4,29.36713927448718,0.6686508839975028
1881,34,2,27.28125,0.4226130314668823
1914,33,3,22.48138253280981,0.38820000124707454
1947,33,7,21.31969565899608,0.23026083428256933
1980,33,3,13.18142460713274,0.04138054585992085
